Date,Close,High,Low,Open,Volume,MA_20,MA_50,RSI,MACD,Signal_Line,Returns
02-01-2020,72.79603577,72.85662844,71.54540216,71.79988842,135480400,,,,0,0,
03-01-2020,72.08829498,72.85176099,71.86289207,72.0204315,146322800,,,,-0.056457954,-0.011291591,-0.009722243
06-01-2020,72.6627121,72.70149229,70.95400211,71.20606964,118387200,,,,-0.054225551,-0.019878383,0.007968244
07-01-2020,72.320961,72.92930613,72.10040288,72.6723939,108872000,,,,-0.079120758,-0.031726858,-0.004703253
08-01-2020,73.48438263,73.78734604,72.02288742,72.02288742,132079200,,,,-0.004915325,-0.026364551,0.016086922
09-01-2020,75.04521942,75.23911297,74.21388993,74.46595006,170108400,,,,0.177790046,0.014466368,0.021240388
10-01-2020,75.21489716,75.78205111,74.71076935,75.28034198,140644800,,,,0.332444729,0.07806204,0.002261007
13-01-2020,76.82178497,76.84844959,75.41361235,75.53237897,121532000,,,,0.578009166,0.178051466,0.021363957
14-01-2020,75.78444672,76.96964265,75.66084272,76.75878138,161954400,,,,0.681065328,0.278654238,-0.013503178
15-01-2020,75.45967102,76.46793373,75.02582552,75.58328241,121923600,,,,0.728137873,0.368550965,-0.004285519
16-01-2020,76.40492249,76.51641831,75.64145641,76.00501239,108829200,,,,0.83212488,0.461265748,0.012526578
17-01-2020,77.25080109,77.25321976,76.34675589,76.65456395,137816400,,,,0.971590773,0.563330753,0.011070996
21-01-2020,76.72725677,77.32106026,76.58910377,76.87752535,110843200,,,,1.028022444,0.656269091,-0.006777202
22-01-2020,77.00114441,77.55616777,76.90661632,77.21442433,101832400,,,70.8681785,1.082368523,0.741488978,0.003569626
23-01-2020,77.37198639,77.45196545,76.50429531,77.05448142,104472000,,,71.90235837,1.142195512,0.821630284,0.004816058
24-01-2020,77.14899445,78.36569234,76.95751958,77.61919406,146537600,,,75.401287,1.158263504,0.888956928,-0.002882076
27-01-2020,74.8804245,75.5639042,73.89397406,75.1494524,161940000,,,59.51346115,0.97668426,0.906502395,-0.029405049
28-01-2020,76.99872589,77.17080697,75.66568743,75.76506027,162234000,,,67.41249788,0.992272323,0.92365638,0.028289121
29-01-2020,78.61048126,79.46120445,77.89306634,78.63714588,216229200,,,68.4650562,1.121750323,0.963275169,0.020932234
30-01-2020,78.4965744,78.54989624,77.25563797,77.68948346,126743200,75.62848587,,63.87913589,1.201323135,1.010884762,-0.001449003
31-01-2020,75.01612854,78.20814528,74.72043611,77.78399672,199588400,75.73949051,,49.36876317,0.972333809,1.003174571,-0.044338825
03-02-2020,74.81012726,75.98077427,73.24925965,73.75338736,173788400,75.87558212,,42.98755871,0.765412339,0.955622125,-0.002746093
04-02-2020,77.27986908,77.47134393,76.01469422,76.42187506,136616400,76.10643997,,54.73958036,0.791588172,0.922815334,0.033013469
05-02-2020,77.91004181,78.712288,77.30411524,78.41174339,118826800,76.38589401,,57.61870038,0.853345545,0.908921377,0.008154423
